Comparison,n1,n2,mean1,mean2,Cohen_d,p_raw,p_Bonferroni
NORM vs MI,9068,2532,1.760,1.859,0.281,1.69e-25,1.69e-24
NORM vs STTC,9068,2400,1.760,1.768,0.023,6.40e-01,1.00e+00
NORM vs HYP,9068,534,1.760,1.859,0.293,3.03e-08,3.03e-07
NORM vs CD,9068,1708,1.760,2.151,0.989,1.17e-124,1.17e-123
MI vs STTC,2532,2400,1.859,1.768,-0.227,1.74e-15,1.74e-14
MI vs HYP,2532,534,1.859,1.859,0.002,8.36e-01,1.00e+00
MI vs CD,2532,1708,1.859,2.151,0.577,3.64e-44,3.64e-43
STTC vs HYP,2400,534,1.768,1.859,0.231,6.59e-07,6.59e-06
STTC vs CD,2400,1708,1.768,2.151,0.760,2.67e-83,2.67e-82
HYP vs CD,534,1708,1.859,2.151,0.501,4.93e-18,4.93e-17
