gene,category,age,n_cells,n_nonzero,frac_detected,mean,median,cv,fano,bc,entropy
Gja1,Gap Junction,3-month-old stage,477,252,0.5283018867924528,348.8333435058594,268.5,1.0819088220596313,408.31878662109375,0.568724513053894,3.5217314320482025
Gja1,Gap Junction,18-month-old stage,300,102,0.34,211.35293579101562,32.0,1.5238921642303467,490.8138122558594,0.76322340965271,2.514947833674116
Gja1,Gap Junction,20-month-old stage and over,432,120,0.2777777777777778,320.1499938964844,67.0,2.0614013671875,1360.4376220703125,0.8466852307319641,2.0506457887240725
Gja5,Gap Junction,3-month-old stage,477,135,0.2830188679245283,82.84444427490234,33.0,1.493077278137207,184.68344116210938,0.7282629609107971,2.856999206767707
Gja5,Gap Junction,18-month-old stage,300,39,0.13,232.07691955566406,11.0,1.631591796875,617.81005859375,0.8164770603179932,2.1887870678023824
Gja5,Gap Junction,20-month-old stage and over,432,24,0.05555555555555555,77.125,61.5,0.9586583375930786,70.8798599243164,0.6861701011657715,2.1556390622295662
Gjc1,Gap Junction,3-month-old stage,477,69,0.14465408805031446,90.17391204833984,34.0,1.650631070137024,245.68629455566406,0.8073084950447083,2.6116415886206177
Gjc1,Gap Junction,18-month-old stage,300,36,0.12,46.08333206176758,16.0,1.2232508659362793,68.95645141601562,0.8098320364952087,2.792481250360578
Gjc1,Gap Junction,20-month-old stage and over,432,42,0.09722222222222222,76.21428680419922,10.0,2.373241662979126,429.25994873046875,0.9301297068595886,1.2916919971380596
Scn5a,Ion Channel,3-month-old stage,477,96,0.20125786163522014,77.875,66.0,0.8926449418067932,62.05196762084961,0.6920614242553711,3.6053377974034158
Scn5a,Ion Channel,18-month-old stage,300,0,0.0,,,,,,
Scn5a,Ion Channel,20-month-old stage and over,432,33,0.0763888888888889,371.81817626953125,88.0,2.3641483783721924,2078.165283203125,0.9825616478919983,1.6171895725927152
Kcnj2,Ion Channel,3-month-old stage,477,81,0.16981132075471697,41.703704833984375,21.0,1.2706577777862549,67.3335952758789,0.7456626892089844,3.123809723744664
Kcnj2,Ion Channel,18-month-old stage,300,15,0.05,412.3999938964844,203.0,1.205182671546936,598.9967041015625,0.8625904321670532,2.321928094887362
Kcnj2,Ion Channel,20-month-old stage and over,432,15,0.034722222222222224,325.20001220703125,24.0,1.4995793104171753,731.2896118164062,0.9171473979949951,1.3709505944546687
Cacna1c,Ion Channel,3-month-old stage,477,96,0.20125786163522014,40.03125,15.0,1.6301138401031494,106.37389373779297,0.9207043051719666,2.8352178514411284
Cacna1c,Ion Channel,18-month-old stage,300,9,0.03,79.33333587646484,25.0,1.1327874660491943,101.80111694335938,,1.584962500721156
Cacna1c,Ion Channel,20-month-old stage and over,432,24,0.05555555555555555,65.125,35.5,1.0971217155456543,78.38939666748047,0.7687332034111023,2.4056390622295662
Kcnq1,Ion Channel,3-month-old stage,477,141,0.29559748427672955,108.06382751464844,82.0,0.8542658090591431,78.86174774169922,0.5348551273345947,4.009286926505495
Kcnq1,Ion Channel,18-month-old stage,300,18,0.06,87.0,71.0,0.8902173042297363,68.94636535644531,0.6625223159790039,1.9182958340544893
Kcnq1,Ion Channel,20-month-old stage and over,432,33,0.0763888888888889,162.90908813476562,46.0,1.071731686592102,187.1188201904297,0.747593104839325,2.4040097573248604
Hcn4,Ion Channel,3-month-old stage,477,3,0.006289308176100629,,,,,,
Hcn4,Ion Channel,18-month-old stage,300,6,0.02,7.0,7.0,0.8571428656578064,5.142857074737549,,1.0
Hcn4,Ion Channel,20-month-old stage and over,432,3,0.006944444444444444,,,,,,
Dsp,Structural,3-month-old stage,477,222,0.46540880503144655,314.83782958984375,304.0,0.8518508076667786,228.4619903564453,0.5187838673591614,3.8634469366423385
Dsp,Structural,18-month-old stage,300,75,0.25,139.1199951171875,6.0,2.6444289684295654,972.8667602539062,0.8950477838516235,1.3354312795575998
Dsp,Structural,20-month-old stage and over,432,75,0.1736111111111111,144.67999267578125,55.0,1.6147195100784302,377.22686767578125,0.8115020990371704,2.6613152774012363
Jup,Structural,3-month-old stage,477,276,0.5786163522012578,204.54347229003906,81.5,1.7713878154754639,641.819580078125,0.855077862739563,2.663708453450507
Jup,Structural,18-month-old stage,300,117,0.39,135.35897827148438,43.0,1.4641247987747192,290.163818359375,0.7785616517066956,2.775319135328339
Jup,Structural,20-month-old stage and over,432,150,0.3472222222222222,209.67999267578125,53.5,1.9511560201644897,798.2538452148438,0.7605524659156799,2.068758439731455
Pkp2,Structural,3-month-old stage,477,129,0.27044025157232704,101.13953399658203,64.0,1.0142277479171753,104.0379867553711,0.6646436452865601,3.6493723836191516
Pkp2,Structural,18-month-old stage,300,33,0.11,527.0908813476562,91.0,1.2791277170181274,862.4090576171875,0.7927072644233704,2.2998963911678914
Pkp2,Structural,20-month-old stage and over,432,33,0.0763888888888889,236.90908813476562,129.0,1.195119023323059,338.3795166015625,0.7056598663330078,2.5503407095463886
Ryr2,Contractile,3-month-old stage,477,231,0.48427672955974843,660.2857055664062,651.0,0.8856655359268188,517.9303588867188,0.5770894289016724,4.130616926847558
Ryr2,Contractile,18-month-old stage,300,63,0.21,637.3809814453125,92.0,1.9486674070358276,2420.330078125,0.8375316858291626,2.0063309305961794
Ryr2,Contractile,20-month-old stage and over,432,90,0.20833333333333334,536.566650390625,94.0,2.646815538406372,3758.9892578125,0.9232587814331055,1.7294468445267843
Atp2a2,Contractile,3-month-old stage,477,366,0.7672955974842768,3580.92626953125,1144.5,1.1330807209014893,4597.45068359375,0.7358822822570801,3.493431395064462
Atp2a2,Contractile,18-month-old stage,300,183,0.61,769.2459106445312,299.0,1.6644047498703003,2130.998291015625,0.7092256546020508,2.6257989194106357
Atp2a2,Contractile,20-month-old stage and over,432,195,0.4513888888888889,2345.53857421875,234.0,2.347637891769409,12927.2099609375,0.8849816918373108,1.6579394975045731
Col1a1,Fibrosis,3-month-old stage,477,93,0.1949685534591195,215.2903289794922,36.0,1.7181113958358765,635.5169677734375,0.8283993005752563,2.4059174940777557
Col1a1,Fibrosis,18-month-old stage,300,66,0.22,111.90908813476562,15.5,1.6464747190475464,303.3719787597656,0.9312084317207336,2.3221793455166666
Col1a1,Fibrosis,20-month-old stage and over,432,36,0.08333333333333333,188.0833282470703,9.0,1.689706563949585,536.998291015625,0.8354644179344177,1.584962500721156
Col3a1,Fibrosis,3-month-old stage,477,117,0.24528301886792453,670.05126953125,34.0,2.3865020275115967,3816.20458984375,0.8995621204376221,1.8596027381264777
Col3a1,Fibrosis,18-month-old stage,300,60,0.2,213.9499969482422,33.0,1.4324976205825806,439.0359191894531,0.7532976865768433,2.319240704636849
