gene,age,frac_detected,frac_low,frac_below_young_median,n_detected,n_total
Gja1,3-month-old stage,0.5283018867924528,0.6037735849056604,0.5,252,477
Gja1,18-month-old stage,0.34,0.82,0.7058823529411765,102,300
Gja1,20-month-old stage and over,0.2777777777777778,0.8472222222222222,0.725,120,432
Scn5a,3-month-old stage,0.20125786163522014,0.8490566037735849,0.5,96,477
Scn5a,18-month-old stage,0.0,1.0,,0,300
Scn5a,20-month-old stage and over,0.0763888888888889,0.9513888888888888,0.45454545454545453,33,432
Kcnj2,3-month-old stage,0.16981132075471697,0.8616352201257862,0.48148148148148145,81,477
Kcnj2,18-month-old stage,0.05,0.96,0.2,15,300
Kcnj2,20-month-old stage and over,0.034722222222222224,0.9652777777777778,0.4,15,432
Cacna1c,3-month-old stage,0.20125786163522014,0.8490566037735849,0.5,96,477
Cacna1c,18-month-old stage,0.03,0.97,0.3333333333333333,9,300
Cacna1c,20-month-old stage and over,0.05555555555555555,0.9652777777777778,0.5,24,432
Kcnq1,3-month-old stage,0.29559748427672955,0.7735849056603774,0.48936170212765956,141,477
Kcnq1,18-month-old stage,0.06,0.96,0.6666666666666666,18,300
Kcnq1,20-month-old stage and over,0.0763888888888889,0.9375,0.5454545454545454,33,432
Dsp,3-month-old stage,0.46540880503144655,0.6477987421383647,0.5,222,477
Dsp,18-month-old stage,0.25,0.93,0.84,75,300
Dsp,20-month-old stage and over,0.1736111111111111,0.9027777777777778,0.88,75,432
Ryr2,3-month-old stage,0.48427672955974843,0.6352201257861635,0.4935064935064935,231,477
Ryr2,18-month-old stage,0.21,0.9,0.7619047619047619,63,300
Ryr2,20-month-old stage and over,0.20833333333333334,0.8958333333333334,0.8333333333333334,90,432
Atp2a2,3-month-old stage,0.7672955974842768,0.42138364779874216,0.5,366,477
Atp2a2,18-month-old stage,0.61,0.6,0.7704918032786885,183,300
Atp2a2,20-month-old stage and over,0.4513888888888889,0.7222222222222222,0.7538461538461538,195,432
Gapdh,3-month-old stage,0.9371069182389937,0.29559748427672955,0.4966442953020134,447,477
Gapdh,18-month-old stage,0.95,0.3,0.4842105263157895,285,300
Gapdh,20-month-old stage and over,0.9375,0.5486111111111112,0.762962962962963,405,432
Actb,3-month-old stage,0.9811320754716981,0.22641509433962265,0.5,468,477
Actb,18-month-old stage,0.91,0.15,0.4065934065934066,273,300
Actb,20-month-old stage and over,0.9305555555555556,0.13194444444444445,0.41044776119402987,402,432
