gene,age,cv_raw,cv_normalized,n_both,frac_both,mean_raw,mean_norm
Gja1,3-month-old stage,1.0721759,8.72345,249,0.5220125786163522,352.6265,9.188495
Gja1,20-month-old stage and over,2.046301,1.487121,117,0.2708333333333333,326.10257,0.2629434
Scn5a,3-month-old stage,0.89264494,3.363963,96,0.20125786163522014,77.875,0.09711688
Scn5a,20-month-old stage and over,2.3641484,1.2419126,33,0.0763888888888889,371.81818,0.13563251
Kcnj2,3-month-old stage,1.2706578,2.5129108,81,0.16981132075471697,41.703705,0.076506816
Kcnj2,20-month-old stage and over,1.5001659,1.5029461,12,0.027777777777777776,88.75,0.13330652
Cacna1c,3-month-old stage,1.6301138,2.1684775,96,0.20125786163522014,40.03125,0.050256114
Cacna1c,20-month-old stage and over,1.0971217,0.8679191,24,0.05555555555555555,65.125,0.03743821
Dsp,3-month-old stage,0.84511185,1.2091825,219,0.4591194968553459,317.9452,0.23034815
Dsp,20-month-old stage and over,1.6147195,1.6004313,75,0.1736111111111111,144.68,0.24183373
Ryr2,3-month-old stage,0.8728012,0.9742479,228,0.4779874213836478,668.8684,0.45311064
Ryr2,20-month-old stage and over,2.6468155,3.1413994,90,0.20833333333333334,536.56665,0.6107405
Atp2a2,3-month-old stage,1.1092746,1.1951594,357,0.7484276729559748,3668.8909,2.4936554
Atp2a2,20-month-old stage and over,2.347638,2.2898853,195,0.4513888888888889,2345.5386,1.6225348
